model,config,length_class,prompt_tokens,output_tokens,load_fraction,long_request_fraction,interactive_retrieval_fraction,transactional_tool_fraction,deep_research_fraction,coding_agent_fraction
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.2,0.0,0.25,0.25,0.25,0.25
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.2,0.0,0.6,0.2,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.2,0.0,0.2,0.6,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.2,0.0,0.2,0.1,0.6,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.2,0.0,0.2,0.1,0.1,0.6
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.4,0.0,0.25,0.25,0.25,0.25
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.4,0.0,0.6,0.2,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.4,0.0,0.2,0.6,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.4,0.0,0.2,0.1,0.6,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.4,0.0,0.2,0.1,0.1,0.6
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.6,0.0,0.25,0.25,0.25,0.25
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.6,0.0,0.6,0.2,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.6,0.0,0.2,0.6,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.6,0.0,0.2,0.1,0.6,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.6,0.0,0.2,0.1,0.1,0.6
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.8,0.0,0.25,0.25,0.25,0.25
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.8,0.0,0.6,0.2,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.8,0.0,0.2,0.6,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.8,0.0,0.2,0.1,0.6,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.8,0.0,0.2,0.1,0.1,0.6
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.95,0.0,0.25,0.25,0.25,0.25
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.95,0.0,0.6,0.2,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.95,0.0,0.2,0.6,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.95,0.0,0.2,0.1,0.6,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,0.95,0.0,0.2,0.1,0.1,0.6
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,1.05,0.0,0.25,0.25,0.25,0.25
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,1.05,0.0,0.6,0.2,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,1.05,0.0,0.2,0.6,0.1,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,1.05,0.0,0.2,0.1,0.6,0.1
qwen2.5-7b,qwen2.5-7b-a10,short,1172,90,1.05,0.0,0.2,0.1,0.1,0.6
qwen2.5-7b,qwen2.5-7b-a10,medium,1925,147,0.2,0.0,0.25,0.25,0.25,0.25
qwen2.5-7b,qwen2.5-7b-a10,medium,1925,147,0.2,0.0,0.6,0.2,0.1,0.1
