application,family,template_id,length_class,input_tokens,output_tokens,pattern_flow_count
interactive_retrieval-t01,interactive_retrieval,interactive_retrieval:1,short,2812,442,3
interactive_retrieval-t02,interactive_retrieval,interactive_retrieval:2,short,3574,579,3
interactive_retrieval-t03,interactive_retrieval,interactive_retrieval:3,medium,4755,799,3
interactive_retrieval-t04,interactive_retrieval,interactive_retrieval:4,medium,6269,1089,3
interactive_retrieval-t05,interactive_retrieval,interactive_retrieval:5,long,7888,1407,3
transactional_tool-t01,transactional_tool,transactional_tool:1,short,2992,184,6
transactional_tool-t02,transactional_tool,transactional_tool:2,short,3922,250,6
transactional_tool-t03,transactional_tool,transactional_tool:3,medium,5410,360,6
transactional_tool-t04,transactional_tool,transactional_tool:4,medium,7382,513,6
transactional_tool-t05,transactional_tool,transactional_tool:5,long,9548,688,6
deep_research-t01,deep_research,deep_research:1,short,32612,2730,2
deep_research-t02,deep_research,deep_research:2,short,40650,3549,2
deep_research-t03,deep_research,deep_research:3,medium,52853,4843,2
deep_research-t04,deep_research,deep_research:4,medium,68183,6539,2
deep_research-t05,deep_research,deep_research:5,long,82178,8382,2
coding_agent-t01,coding_agent,coding_agent:1,short,34000,3690,2
coding_agent-t02,coding_agent,coding_agent:2,short,41595,4648,2
coding_agent-t03,coding_agent,coding_agent:3,medium,52856,6114,2
coding_agent-t04,coding_agent,coding_agent:4,medium,66650,7961,2
coding_agent-t05,coding_agent,coding_agent:5,long,77967,9900,2
