service,server,vcpu,memory_gb,stable_rate_rps,arrival_scv,service_scv,running_cost_per_slot,source_status
web_search,ATLAM5,2,2.0,8.339,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,ATLAng,2,2.0,8.119,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,CHINng,2,2.0,7.26,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,DNVRng,2,2.0,8.538,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,HSTNng,2,2.0,7.873,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,IPLSng,2,2.0,8.538,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,KSCYng,2,2.0,7.26,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,LOSAng,2,2.0,8.538,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,NYCMng,2,2.0,7.873,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,SNVAng,2,2.0,8.538,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,STTLng,2,2.0,7.873,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
web_search,WASHng,2,2.0,7.591,1.0,1.5,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,ATLAM5,2,4.0,12.509,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,ATLAng,2,4.0,12.179,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,CHINng,2,4.0,10.89,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,DNVRng,2,4.0,12.807,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,HSTNng,2,4.0,11.809,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,IPLSng,2,4.0,12.807,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,KSCYng,2,4.0,10.89,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
information_retrieval,LOSAng,2,4.0,12.807,1.0,1.1,2.777777777777778e-05,reference range; replace with pinned low-load measurements
